programme,year,section,venue,faculty,day,period,time,subject,rotation_venues
CS & GT,I Year,I/II/CS 'A,ADMIN 604/BMS 903,FACULTY OF ENGINEERING AND TECHNOLOGY,MON,1,8:30-9:20,,
CS & GT,I Year,I/II/CS 'A,ADMIN 604/BMS 903,FACULTY OF ENGINEERING AND TECHNOLOGY,MON,2,9:20-10:10,21LEM101T / COI,
CS & GT,I Year,I/II/CS 'A,ADMIN 604/BMS 903,FACULTY OF ENGINEERING AND TECHNOLOGY,MON,3,10:20-11:10,21PYB102J/PHYSICS,
CS & GT,I Year,I/II/CS 'A,ADMIN 604/BMS 903,FACULTY OF ENGINEERING AND TECHNOLOGY,MON,4,11:10-12:00,,
CS & GT,I Year,I/II/CS 'A,ADMIN 604/BMS 903,FACULTY OF ENGINEERING AND TECHNOLOGY,MON,5,12:40-1:30,"21LEH103T / FRENCH
21LEH104T / GERMAN 
21LEH105T / JAPANESE",
CS & GT,I Year,I/II/CS 'A,ADMIN 604/BMS 903,FACULTY OF ENGINEERING AND TECHNOLOGY,MON,6,1:30-2:20,,
CS & GT,I Year,I/II/CS 'A,ADMIN 604/BMS 903,FACULTY OF ENGINEERING AND TECHNOLOGY,MON,7,2:20-3:05,21EES101T / BEEE,
CS & GT,I Year,I/II/CS 'A,ADMIN 604/BMS 903,FACULTY OF ENGINEERING AND TECHNOLOGY,MON,8,3:05-3:50,21EES101T / BEEE,
CS & GT,I Year,I/II/CS 'A,ADMIN 604/BMS 903,FACULTY OF ENGINEERING AND TECHNOLOGY,TUE,1,8:30-9:20,"21LEH103T / FRENCH
21LEH104T / GERMAN 
21LEH105T / JAPANESE",
CS & GT,I Year,I/II/CS 'A,ADMIN 604/BMS 903,FACULTY OF ENGINEERING AND TECHNOLOGY,TUE,2,9:20-10:10,21PYB102J/PHYSICS,
CS & GT,I Year,I/II/CS 'A,ADMIN 604/BMS 903,FACULTY OF ENGINEERING AND TECHNOLOGY,TUE,3,10:20-11:10,21MAB102T /ACCA,
CS & GT,I Year,I/II/CS 'A,ADMIN 604/BMS 903,FACULTY OF ENGINEERING AND TECHNOLOGY,TUE,4,11:10-12:00,"21MES102L / ENGINEERING 
GRAPHICS",
CS & GT,I Year,I/II/CS 'A,ADMIN 604/BMS 903,FACULTY OF ENGINEERING AND TECHNOLOGY,TUE,5,12:40-1:30,21MES102L / ENGINEERING GRAPHICS,
CS & GT,I Year,I/II/CS 'A,ADMIN 604/BMS 903,FACULTY OF ENGINEERING AND TECHNOLOGY,TUE,6,1:30-2:20,,
CS & GT,I Year,I/II/CS 'A,ADMIN 604/BMS 903,FACULTY OF ENGINEERING AND TECHNOLOGY,TUE,7,2:20-3:05,21CYM101T / EVS,
CS & GT,I Year,I/II/CS 'A,ADMIN 604/BMS 903,FACULTY OF ENGINEERING AND TECHNOLOGY,TUE,8,3:05-3:50,,
CS & GT,I Year,I/II/CS 'A,ADMIN 604/BMS 903,FACULTY OF ENGINEERING AND TECHNOLOGY,WED,1,8:30-9:20,21MAB102T /ACCA,
CS & GT,I Year,I/II/CS 'A,ADMIN 604/BMS 903,FACULTY OF ENGINEERING AND TECHNOLOGY,WED,2,9:20-10:10,21CSC101T / OODP,
CS & GT,I Year,I/II/CS 'A,ADMIN 604/BMS 903,FACULTY OF ENGINEERING AND TECHNOLOGY,WED,3,10:20-11:10,21EES101T / BEEE,
CS & GT,I Year,I/II/CS 'A,ADMIN 604/BMS 903,FACULTY OF ENGINEERING AND TECHNOLOGY,WED,4,11:10-12:00,21PYB102J/PHYSICS,
CS & GT,I Year,I/II/CS 'A,ADMIN 604/BMS 903,FACULTY OF ENGINEERING AND TECHNOLOGY,WED,5,12:40-1:30,,
CS & GT,I Year,I/II/CS 'A,ADMIN 604/BMS 903,FACULTY OF ENGINEERING AND TECHNOLOGY,WED,6,1:30-2:20,,
CS & GT,I Year,I/II/CS 'A,ADMIN 604/BMS 903,FACULTY OF ENGINEERING AND TECHNOLOGY,WED,7,2:20-3:05,,
CS & GT,I Year,I/II/CS 'A,ADMIN 604/BMS 903,FACULTY OF ENGINEERING AND TECHNOLOGY,WED,8,3:05-3:50,,
CS & GT,I Year,I/II/CS 'A,ADMIN 604/BMS 903,FACULTY OF ENGINEERING AND TECHNOLOGY,THU,1,8:30-9:20,,
CS & GT,I Year,I/II/CS 'A,ADMIN 604/BMS 903,FACULTY OF ENGINEERING AND TECHNOLOGY,THU,2,9:20-10:10,21MAB102T /ACCA,
CS & GT,I Year,I/II/CS 'A,ADMIN 604/BMS 903,FACULTY OF ENGINEERING AND TECHNOLOGY,THU,3,10:20-11:10,21PYB102J/PHYSICS,
CS & GT,I Year,I/II/CS 'A,ADMIN 604/BMS 903,FACULTY OF ENGINEERING AND TECHNOLOGY,THU,4,11:10-12:00,21CSC101T / OODP,
CS & GT,I Year,I/II/CS 'A,ADMIN 604/BMS 903,FACULTY OF ENGINEERING AND TECHNOLOGY,THU,5,12:40-1:30,21PDM102L / GENERAL APTITUDE,
CS & GT,I Year,I/II/CS 'A,ADMIN 604/BMS 903,FACULTY OF ENGINEERING AND TECHNOLOGY,THU,6,1:30-2:20,,
CS & GT,I Year,I/II/CS 'A,ADMIN 604/BMS 903,FACULTY OF ENGINEERING AND TECHNOLOGY,THU,7,2:20-3:05,21EES101T / BEEE,
CS & GT,I Year,I/II/CS 'A,ADMIN 604/BMS 903,FACULTY OF ENGINEERING AND TECHNOLOGY,THU,8,3:05-3:50,,
CS & GT,I Year,I/II/CS 'A,ADMIN 604/BMS 903,FACULTY OF ENGINEERING AND TECHNOLOGY,FRI,1,8:30-9:20,21CSC101T / OODP,
CS & GT,I Year,I/II/CS 'A,ADMIN 604/BMS 903,FACULTY OF ENGINEERING AND TECHNOLOGY,FRI,2,9:20-10:10,21MAB102T /ACCA,
CS & GT,I Year,I/II/CS 'A,ADMIN 604/BMS 903,FACULTY OF ENGINEERING AND TECHNOLOGY,FRI,3,10:20-11:10,21PYB102J/PHYSICS,
CS & GT,I Year,I/II/CS 'A,ADMIN 604/BMS 903,FACULTY OF ENGINEERING AND TECHNOLOGY,FRI,4,11:10-12:00,,
CS & GT,I Year,I/II/CS 'A,ADMIN 604/BMS 903,FACULTY OF ENGINEERING AND TECHNOLOGY,FRI,5,12:40-1:30,,
CS & GT,I Year,I/II/CS 'A,ADMIN 604/BMS 903,FACULTY OF ENGINEERING AND TECHNOLOGY,FRI,6,1:30-2:20,,
CS & GT,I Year,I/II/CS 'A,ADMIN 604/BMS 903,FACULTY OF ENGINEERING AND TECHNOLOGY,FRI,7,2:20-3:05,,
CS & GT,I Year,I/II/CS 'A,ADMIN 604/BMS 903,FACULTY OF ENGINEERING AND TECHNOLOGY,FRI,8,3:05-3:50,,
CS & GT,I Year,I/II/CS 'B,ADMIN 604/NEW ADMIN 205,FACULTY OF ENGINEERING AND TECHNOLOGY,MON,1,8:30-9:20,21EES101T / BEEE,
CS & GT,I Year,I/II/CS 'B,ADMIN 604/NEW ADMIN 205,FACULTY OF ENGINEERING AND TECHNOLOGY,MON,2,9:20-10:10,21CSC101T / OODP,
CS & GT,I Year,I/II/CS 'B,ADMIN 604/NEW ADMIN 205,FACULTY OF ENGINEERING AND TECHNOLOGY,MON,3,10:20-11:10,21MAB102T /ACCA,
CS & GT,I Year,I/II/CS 'B,ADMIN 604/NEW ADMIN 205,FACULTY OF ENGINEERING AND TECHNOLOGY,MON,4,11:10-12:00,21PYB102J/PHYSICS,
CS & GT,I Year,I/II/CS 'B,ADMIN 604/NEW ADMIN 205,FACULTY OF ENGINEERING AND TECHNOLOGY,MON,5,12:40-1:30,,
CS & GT,I Year,I/II/CS 'B,ADMIN 604/NEW ADMIN 205,FACULTY OF ENGINEERING AND TECHNOLOGY,MON,6,1:30-2:20,21LEM101T / COI,
CS & GT,I Year,I/II/CS 'B,ADMIN 604/NEW ADMIN 205,FACULTY OF ENGINEERING AND TECHNOLOGY,MON,7,2:20-3:05,,
CS & GT,I Year,I/II/CS 'B,ADMIN 604/NEW ADMIN 205,FACULTY OF ENGINEERING AND TECHNOLOGY,MON,8,3:05-3:50,,
CS & GT,I Year,I/II/CS 'B,ADMIN 604/NEW ADMIN 205,FACULTY OF ENGINEERING AND TECHNOLOGY,TUE,1,8:30-9:20,,
CS & GT,I Year,I/II/CS 'B,ADMIN 604/NEW ADMIN 205,FACULTY OF ENGINEERING AND TECHNOLOGY,TUE,2,9:20-10:10,,
CS & GT,I Year,I/II/CS 'B,ADMIN 604/NEW ADMIN 205,FACULTY OF ENGINEERING AND TECHNOLOGY,TUE,3,10:20-11:10,,
CS & GT,I Year,I/II/CS 'B,ADMIN 604/NEW ADMIN 205,FACULTY OF ENGINEERING AND TECHNOLOGY,TUE,4,11:10-12:00,,
